Customer,Date Shipped,Product ID,Brand,Channel
8713184,3/22/18,968,White Whale,Direct
8718736,3/23/18,1073,Black Dog,Direct
8712184,3/24/18,548,White Whale,Direct
8717984,3/24/18,1073,Black Dog,Direct
9810333,3/24/18,581,White Whale,Direct
9815589,3/28/18,1073,Black Dog,Direct
8719520,3/30/18,548,White Whale,Direct
9812718,3/30/18,548,White Whale,Direct
9815472,3/30/18,548,White Whale,Direct
8717728,3/31/18,581,White Whale,Direct
8718528,4/7/18,17,White Whale,Direct
8718656,4/7/18,17,White Whale,Direct
9811980,4/7/18,17,White Whale,Direct
9814536,4/7/18,17,White Whale,Direct
8715512,4/11/18,581,White Whale,Direct
8717880,4/13/18,458,Black Dog,Direct
8719496,4/13/18,17,White Whale,Direct
9813105,4/13/18,458,Black Dog,Direct
9813996,4/13/18,1073,Black Dog,Direct
9814761,4/13/18,581,White Whale,Direct
9816327,4/13/18,581,White Whale,Partner
8716880,4/14/18,581,White Whale,Direct
8717928,4/14/18,581,White Whale,Partner
8718400,4/14/18,581,White Whale,Direct
8713184,4/19/18,1388,White Whale,Direct
8716952,4/20/18,17,White Whale,Direct
8718736,4/25/18,446,Black Dog,Direct
9810333,4/25/18,548,White Whale,Direct
8717168,4/26/18,446,Black Dog,Direct
8717984,4/26/18,446,Black Dog,Direct
8712184,4/27/18,17,White Whale,Direct
8719520,4/28/18,17,White Whale,Direct
9812718,4/28/18,17,White Whale,Direct
8712192,1/6/18,548,White Whale,Partner
8714752,1/6/18,548,White Whale,Direct
8715352,1/6/18,548,White Whale,Direct
8717752,1/6/18,581,White Whale,Direct
9811242,1/6/18,677,White Whale,Direct
9811908,1/6/18,677,White Whale,Direct
9812052,1/6/18,677,White Whale,Direct
9813960,1/6/18,677,White Whale,Direct
9814842,1/6/18,677,White Whale,Direct
9815490,1/6/18,677,White Whale,Direct
9815607,1/6/18,548,White Whale,Direct
9816624,1/6/18,677,White Whale,Direct
9817218,1/6/18,494,Black Dog,Direct
9817299,1/6/18,494,Black Dog,Direct
9817380,1/6/18,494,Black Dog,Direct
9817416,1/6/18,494,Black Dog,Direct
9817497,1/6/18,494,Black Dog,Direct
9817506,1/6/18,677,White Whale,Direct
9817533,1/6/18,677,White Whale,Direct
9819387,1/6/18,323,Black Dog,Direct
9819405,1/6/18,968,White Whale,Direct
9819927,1/6/18,494,Black Dog,Direct
9820098,1/6/18,677,White Whale,Direct
9820116,1/6/18,548,White Whale,Direct
9821070,1/6/18,677,White Whale,Direct
9821124,1/6/18,494,Black Dog,Direct
9821151,1/6/18,677,White Whale,Direct
9821169,1/6/18,677,White Whale,Direct
9821763,1/6/18,548,White Whale,Direct
9821934,1/6/18,677,White Whale,Direct
9821952,1/6/18,677,White Whale,Direct
9822114,1/6/18,677,White Whale,Direct
9822600,1/6/18,677,White Whale,Direct
9815607,1/18/18,548,White Whale,Direct
9814842,2/1/18,677,White Whale,Direct
9812052,2/2/18,17,White Whale,Direct
9821124,2/7/18,239,Black Dog,Direct
8712192,2/8/18,1313,White Whale,Partner
8714752,2/8/18,581,White Whale,Direct
8715352,2/8/18,581,White Whale,Direct
9817218,2/8/18,239,Black Dog,Direct
9817497,2/9/18,239,Black Dog,Direct
9817506,2/9/18,1313,White Whale,Direct
9815490,2/10/18,1313,White Whale,Direct
9817416,2/10/18,284,Black Dog,Direct
9820116,2/14/18,581,White Whale,Direct
9820098,2/16/18,1313,White Whale,Direct
9821070,2/16/18,1313,White Whale,Direct
9821169,2/16/18,1313,White Whale,Direct
9821934,2/16/18,1313,White Whale,Direct
9814842,2/17/18,581,White Whale,Direct
9815607,2/22/18,581,White Whale,Direct
9813960,2/23/18,581,White Whale,Direct
9817533,2/23/18,581,White Whale,Direct
9821151,2/23/18,581,White Whale,Direct
9816624,2/24/18,581,White Whale,Direct
8715352,2/27/18,581,White Whale,Direct
9822600,2/27/18,581,White Whale,Direct
9821763,2/28/18,968,White Whale,Direct
9817299,3/1/18,239,Black Dog,Direct
9822114,3/1/18,581,White Whale,Direct
9821124,3/2/18,1073,Black Dog,Direct
9817218,3/3/18,1073,Black Dog,Direct
9812052,3/5/18,968,White Whale,Direct
8715352,3/6/18,17,White Whale,Direct
8712192,3/9/18,377,White Whale,Partner
9815490,3/9/18,377,White Whale,Direct
9817416,3/13/18,1073,Black Dog,Direct
9820116,3/13/18,17,White Whale,Direct
